Action Type,Display Name,Description (info box/hover text),Action Data Description,Action Data Link,Points,Enabled,Start Date,End Date
Facebook referral,Refer-a-friend and you will earn 5% of your referral's total points.,"Refer a friend to Brain Trust's Engage Platform by posting this link to your Wall. You will earn 5% of all of your referral's total points. If your referrals get their friends to sign up, you will receive 5% of their total points, too. That's because FanFueled's patented 'Share, Track, Reward' software tracks your influence across multiple degrees of separation and rewards you for it.",Sign up for Brain Trust Engage for a chance to win exclusive prizes and experiences.,,5,Y,4/11/2012
Twitter referral,Refer-a-friend and you will earn 5% of your referral's total points.,"Refer a friend to FanFueled's Engage Platform by posting this link to your Twitter feed. You will earn 5% of all of your referral's total points. If your referrals get their friends to sign up, you will receive 5% of their total points, too. That's because FanFueled's patented 'Share, Track, Reward' software tracks your influence across multiple degrees of separation and rewards you for it.",Sign up for Brain Trust Engage for a chance to win exclusive prizes and experiences.,,5,Y,4/11/2012
Buy ,Buy tickets to see Bluetech at the Glasslands.,,,2233,400,Y,4/11/2012,4/19/2012
Buy ,Buy a month pass to Wobble Wednesdays in May.,,,1946,400,Y,4/11/2012,4/29/2012
Buy ,Buy a month pass to Wobble Wednesdays in June.,,,1947,400,Y,4/11/2012,5/29/2012
