Title,Inside Detailed Description,Quantity,Points,Enabled,Subtract Points Immediately?,End Date
Win a VIP Trip for You & a Friend to See Tiësto Perform at XS at the Wynn in Las Vegas! ,"Win the ultimate Tiësto fan experience. The GRAND PRIZE winner will win 2 VIP tickets to see Tiësto perform at XS at the Wynn in Las Vegas. This unbelievable prize includes roundtrip airfare, transportation, a hotel room at the Wynn, a comped meal at the Wynn, and 2 VIP tickets. Once you earn 10,000 points on Tiësto Engage, you are automatically entered into an exclusive raffle to win this prize. The drawing will be held at a date TBD. (Note: Airfare is only for players within the continental United States).  ",1,15000,,N
Win a Pair of Tickets to the Tiësto Show of your Choice!,Win a pair of tickets to see the Tiësto show of your choice. Check out his calendar for upcoming tour dates: http://www.tiesto.com/Tiesto-tours. The player at the top of the leader board at the end of Tiësto Engage will win this prize.,1,20000,Y,N
Win a Signed Club Life Volume 2 Album and T-Shirt.,Win a signed 'Club Life Volume 2' album and t-shirt! This prize will go to players 2 through 11 at the top of the leader board when Tiësto Engage ends. ,10,20000,Y,N
Win a Deluxe Copy of Club Life Volume 2.,"Win a Deluxe Copy of Club Life Volume 2. If you redeem this prize, 10,000 points will be subtracted from your total.",15,10000,Y,Y
Win a Shout Out on Tiësto official Twitter page.,"Win a shout out on Tiësto's official Twitter page. If you redeem this prize, 8,500 points will be subtracted from your total.",10,8500,Y,Y
