Action Type,Display Name,Description (info box/hover text),Action Data Description,Action Data Link,Points,Enabled,Start Date,End Date,Order
like,Like Wavefront Music Fest on Facebook.,,,https://www.facebook.com/pages/Wavefront-Music-Festival/202067636574658,100,,,,1
buy,Buy tickets to Wavefront Music Festival.,,2627,,500,,,,2
facebook referral,Refer-a-friend and you will earn 5% of your referral's total points.,"Refer a friend to Wavefront Engage Platform by posting this link to your Wall. You will earn 5% of all of your referral's total points. If your referrals get their friends to sign up, you will receive 5% of their total points, too. That's because FanFueled's patented 'Share, Track, Reward' software tracks your influence across multiple degrees of separation and rewards you for it.",Sign up for Wavefront Engage for a chance to win exclusive prizes and experiences.,,,,,,3
TWITTER REFERRAL,Refer-a-friend and you will earn 5% of your referral's total points.,"Refer a friend to Wavefront Engage Platform by posting this link to your Twitter feed. You will earn 5% of all of your referral's total points. If your referrals get their friends to sign up, you will receive 5% of their total points, too. That's because FanFueled's patented 'Share, Track, Reward' software tracks your influence across multiple degrees of separation and rewards you for it.",Sign up for Wavefront Engage for a chance to win exclusive prizes and experiences.,,,,,,4
Post,Share the Wavefront channel on Pulse Radio with your friends.,,Check out Wavefront's awesome channel on Pulse Radio.,http://pulseradio.net/clubs/wavefront-music-festival,150,,,,5
Follow,Follow Wavefront Music Fest on Twitter.,,,wavefrontfest,100,,,,6
watch,Check out the Erick Morillo interview with your friends.,,,http://www.youtube.com/watch?v=QatR_ibdt8A,200,,,,7
